sample_id,source,question,gold_answer,task_type
hotpotqa_0807,hotpotqa,"The metafamily of graphical operating systems developed, marketed, and sold by Microsoft offers what kind of help to musicians?",software for singing training,other
hotpotqa_0226,hotpotqa,"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",cybersecurity,entity
squad_0310,squad,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million,numerical
squad_0292,squad,For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls,entity
hotpotqa_0790,hotpotqa,"In what year was the author of ""Trading Christmas"" born?",1948,compositional
squad_0220,squad,Which league did Notre Dame Fighting Irish teams participate in in 1982?,Horizon League,entity
hotpotqa_0063,hotpotqa,In what political party was the man who officially opened he Royal Spa Centre in 1972?,Conservative,compositional
musique_0926,musique,What year did the league the Scone Thoroughbreds play for start?,1895,temporal
hotpotqa_0177,hotpotqa,"""Apocalypic"" is a song sung by Lizzy Hale from which group? ",Halestorm,entity
squad_0474,squad,Beyonce tied with which artist for most nominations by a female artist?,Lauryn Hill,entity
musique_0280,musique,What was the record label of the singer of Take Good Care of My Baby?,Liberty Records,entity
hotpotqa_0936,hotpotqa,"What type od dance music inspired the band, ""The Kabalas""?",Polka,entity
hotpotqa_0212,hotpotqa,"The NBC-affiliated television station, owned by an American telecommunications company whose founder is Julian Sinclair Smith, called WJAR is more commonly known as what?",NBC 10,entity
musique_0255,musique,What year saw the formation of the band that released the album Ohio Is for Lovers?,2001,compositional
hotpotqa_0844,hotpotqa,"In the 2016 romantic drama ""Me Before You"" directed by Thea Sharrock, Sam Claflin (who also appears in The Hunger Games) stars as which character?",Will Traynor,entity
hotpotqa_0684,hotpotqa,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,other
squad_0419,squad,Who did Beyoncé tour with for the Verizon Lades First Tour?,Missy Elliott and Alicia Keys,entity
musique_0687,musique,Who is the spouse of the actor of the US president in The American President?,Catherine Zeta-Jones,compositional
hotpotqa_0233,hotpotqa,"Which band has more members, Muse or The Raconteurs?",The Raconteurs,other
hotpotqa_0709,hotpotqa, Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?,raw sexuality,other
musique_0730,musique,"When did the individual who said psychology is the science of mental life, die?",1910,temporal
musique_0117,musique,What was a notable work of the Chet Holifield Federal Building designer?,Transamerica Pyramid,entity
musique_0885,musique,Who was the original broadcaster of season 1 of the series of which A Measure of Salvation is one episode?,Sci-Fi Channel,compositional
musique_0068,musique,"When did the the river where Southern California gets most of its water, start to form the Grand Canyon?",about 5 to 6 million years ago,temporal
squad_0267,squad,Mariel Zagunis is notable for winning what?,Olympic gold,entity
hotpotqa_0078,hotpotqa,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,entity
hotpotqa_0416,hotpotqa,"What  teen sex comedy film written by Adam Herz and directed by brothers Paul and Chris Weitz, starred an actor best known for her role as Jessica ?",American Pie,entity
musique_0832,musique,Who originally broadcasted season 1 of the series in which He That Believeth in Me is an episode?,Sci-Fi Channel,entity
musique_0898,musique,"What was the response of the man who coined the term ""abominable mystery"" to the claims that certain animals could not have evolved through natural selection?",Darwin proposed scenarios for the incremental evolution of each feature.,other
musique_0794,musique,"What is the county where Punta Gorda, Florida is located named after?",Charlotte Harbor,compositional
musique_0417,musique,"Who played the writer of ""Lewis Boogie"" on walk the line?",Waylon Malloy Payne,entity
squad_0286,squad,What was Beyoncé's role in Destiny's Child?,lead singer,entity
hotpotqa_0209,hotpotqa,Sojourners and KO Magazine share what publication format?,magazine,other
musique_0018,musique,When did the country formerly known as Zaire become independent?,1960,temporal
musique_0937,musique,What year did the sport that Christopher McKivat plays for start?,1895,compositional
hotpotqa_0989,hotpotqa,"What is a rare breed of dog that was derived as a variant of Rat Terrier, Shiloh Shepherd dog or American Hairless Terrier ?",American Hairless Terrier,entity
musique_0755,musique,What year was the foundation of the school where Thomas Farrell was educated?,1824,temporal
hotpotqa_0148,hotpotqa,Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,Isabelle Mergault,compositional
hotpotqa_0599,hotpotqa,John Martin & Co. is responsible for the pageant that has been known as what since 1996?,Credit Union Christmas Pageant,entity
hotpotqa_0947,hotpotqa,"Who co- satrred with the actor who starred in several television series over more than five decades, including such popular roles as Bret Maverick in a 1959 episode of the Western comedy television se",Clint Eastwood,entity
musique_0376,musique,In what century did the person for whom Murska Sobota Cathedral was named become the influence for Santa Claus wearing red?,4th,compositional
hotpotqa_0348,hotpotqa,Alan Furst and Lee Child are what?,is a British author,entity
squad_0151,squad,Construction for which hall started on March 8th 2007 at Notre Dame?,Duncan Hall,temporal
hotpotqa_0538,hotpotqa,Seoul Train and Making North America are both films in what style of cinema or film making genre?,documentary,entity
hotpotqa_0818,hotpotqa,"Between the two musicians, Peter Garrett and Ryo Kawakita, who has had more diverse job experiences? ",Peter Robert Garrett,other
musique_0786,musique,Who played the piano in the series that had an episode called A Measure of Salvation?,Roark Critchlow,compositional
squad_0114,squad,Which institute involving animal life did Cavanaugh create at Notre Dame?,Lobund Institute for Animal Studies,entity
musique_0270,musique,Who founded the company that made Vacamatic?,Walter Percy Chrysler,compositional
hotpotqa_0677,hotpotqa,"When was the American rapper from Atlanta, Georgia born who's song is ""Sneakin'""?","October 22, 1992",temporal
musique_0494,musique,Where is the water lily pond painted by the artist who painted The Cliff Walk at Pourville?,his flower garden at his home in Giverny,compositional
musique_0812,musique,When did the Admiral Twin open in the city served by KGTO?,1998,temporal
musique_0616,musique,Who is the spouse of Ernest the Rebel's director?,Martine Carol,entity
hotpotqa_0624,hotpotqa,The team Kevin Goldthwaite last played for play their home games at Providence Park since what year?,2011,temporal
hotpotqa_0748,hotpotqa,Terry Pratchett's The Colour of Magic starred which star of Only Fools and Horses?,Sir David John White,entity
musique_0804,musique,When did the author of The Sparrow's Nest live?,1770-1850,temporal
hotpotqa_0376,hotpotqa,What was the official name for the draft that Thomas E. O'Donnell was a public opponent of?,Conscription in the United States,entity
musique_0469,musique,"Where is the water lily pond by the artist of Impression, Sunrise located?",his flower garden at his home in Giverny,compositional
musique_0106,musique,When did the organization that gives out the Frank P. Brown Medal open?,1824,temporal
hotpotqa_0897,hotpotqa,Fred Mundee attended the public high school that was built in what year?,1909,temporal
musique_0429,musique,Who is the spouse of the person who won the popular vote in the 2000 election?,Tipper Gore,compositional
hotpotqa_0534,hotpotqa,When was the band for which Bob Welch was a guitarist formed ?,1967,temporal
hotpotqa_0653,hotpotqa,What was the nationality of Marco Garibaldi's former partner?,American,entity
hotpotqa_0396,hotpotqa,Who is married to Jim Tomlinson and released an album entitled Raconte-moi?,Stacey Kent,compositional
musique_0487,musique,"Along with the performer of Nude as the News, what indie/folk musician is based in Miami?",Iron & Wine,compositional
musique_0256,musique,"Which county border the county where Rapid City, South Dakota is located?",Meade County,other
hotpotqa_0519,hotpotqa,"The pop singer in the lead role in ""Tere Bin Laden"" received how many Lux Style Awards?",five,numerical
hotpotqa_0230,hotpotqa,"Which director is American, Mark L. Lester or Ken Loach?",Mark L. Lester,other
musique_0092,musique,What year did the maker of the CMA CGM Vela dissolve?,1999,temporal
squad_0458,squad,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,Single Ladies,entity
musique_0676,musique,Who sings Meet Me in Montana with the album artist of This is the Way that I Feel?,Dan Seals,compositional
musique_0439,musique,What is the meaning of the name of the administrative territorial entity that contains Sivand?,Old Persian as Pars,entity
hotpotqa_0221,hotpotqa,What are the plants in the same genus as the Dendranthema boreale sometimes called?,mums or chrysanths,entity
hotpotqa_0504,hotpotqa,Who is the oldest of the Van Dyke family?,Dick Van Dyke,other
hotpotqa_0371,hotpotqa, Rani Silautia is an Indian politician from a party having links with which Hindu nationalist organization ?,the Hindu nationalist Rashtriya Swayamsevak Sangh,entity
musique_0379,musique,In what century did the person San Nicolò dei Mendicoli is named after become the influence for red being worn by Santa Claus?,4th,compositional
hotpotqa_0679,hotpotqa,"Who was born in 1976 and co-wrote the teleplay for the first episode of ""Black Mirror?""",Rashida Jones,compositional
musique_0159,musique,Who employs the person who wrote the book Animal Liberation?,New York University,compositional
squad_0111,squad,Which year was the Laetare Medal first given out at Notre Dame?,1883,temporal
hotpotqa_0495,hotpotqa,"What is the population of the largest city in Iraq, who's 1956–57 Iraq FA Cup Championship was open to teams from the capital?","8,765,000",compositional
hotpotqa_0119,hotpotqa,What event at the Asian Junior Athletics Championships has men and women competing at the same time?,3000 metres steeplechase,other
hotpotqa_0401,hotpotqa,"Which actor starring in ""Lisa Picard Is Famous"" was born in Douglas County?",Laura Ellen Kirk,compositional
hotpotqa_0011,hotpotqa,"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy,entity
hotpotqa_0558,hotpotqa,Are San Diego International Airport and McCarran International Airport located in the same state?,no,other
musique_0657,musique,"Who sings Meet Me in Montana, with the performer of There's No Stopping Your Heart?",Dan Seals,compositional
hotpotqa_0930,hotpotqa,"The song ""Boom"" features an artist born on January 17, 1971 with what legal name?",Jonathan Smith,entity
hotpotqa_0049,hotpotqa,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941",compositional
musique_0261,musique,What is the school from which researchers studied corruption in Sub-Saharan countries from 1970 to 1996 a member of?,Five Colleges,entity
squad_0163,squad,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,1849,temporal
musique_0313,musique,What position was held by the individual who was prime minister when the UK joined the European Community?,Prime Minister of the United Kingdom,compositional
hotpotqa_0051,hotpotqa,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,entity
musique_0570,musique,The language that ORDER BY is part of has the name of who?,Michael Widenius's daughter,entity
hotpotqa_0354,hotpotqa,Mindless Self Indulgence and Tappi Tíkarrass are both what?,band,entity
hotpotqa_0419,hotpotqa,What area is the species of Spruce which can be found in Rensselaer Plateau native to?,eastern North America,entity
musique_0222,musique,Why were the Uighurs ranked higher by the people who established the vice royalty of the Sakya regime?,the Uighurs surrendered peacefully without violently resisting,other
musique_0701,musique,What is the center having Christopher C. Kraft Jr. Mission Control Center named after?,Lyndon B. Johnson,entity
musique_0402,musique,What kind of agency is the the law enforcement bureau that pioneered DNA testing?,FBI is primarily a domestic agency,entity
hotpotqa_0999,hotpotqa,"What 2016 animated movie about birds, written by Jon Vitti, features characters also used in a pinball video game published by Rovio Entertainment in the same year?",The Angry Birds Movie,compositional
hotpotqa_0688,hotpotqa,Who was the head coach of the Duke Blue Devils football team when they played at Wallace Wade Stadium and has won multiple college football coach of the year awards?,David Cutcliffe,entity
hotpotqa_0524,hotpotqa,Door into the Dark is a poetry collection by a man that received the Nobel Prize in Literature in what year?,1995,temporal
musique_0757,musique,In what year was the psychologist who founded functional psychology born?,1842,compositional
hotpotqa_0067,hotpotqa,"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, busines",Keyshia Cole,entity
hotpotqa_0518,hotpotqa,"What is a semi-professional football club in Hyde, Greater Manchester, England?",Hyde United Football Club,entity
squad_0388,squad,Which other song from the soundtrack did better in the charts?,Summertime,other
musique_0148,musique,Who is the employer of the person who said the greatest good for the greatest number?,New York University,compositional
hotpotqa_0661,hotpotqa,Who is the current head coach of the basketball team for which Michael Beasley played for one year before declaring for the NBA draft in 2008?,Bruce Weber,entity
hotpotqa_0604,hotpotqa,Which painter created the 'Beguiling of Merlin' and was closely associated with the later part of the Pre-Raphaelite movement? ,Edward Burne-Jones,entity
hotpotqa_0609,hotpotqa,How far north from Salzburg is the Austrian village that shares a name with a controversial German Pilsner or pale lager?,33 km,numerical
musique_0607,musique,In what year was the performer of A New House formed?,1985,temporal
hotpotqa_0323,hotpotqa,"In the draft of the 2017–18 Phoenix Suns season, The Phoneix Suns picked which player that played one season for the Kansas Jayhawks?",Josh Jackson,entity
hotpotqa_0938,hotpotqa,"What show created by Michael G. Moye and Ron Leavitt aired on May 2, 2006 in Chile? ",Married... with Children,compositional
musique_0863,musique,How many troops did the Turks send to Nariné Simonian's city of birth?,30000,numerical
hotpotqa_0434,hotpotqa,The 32nd TCA Awards were hosted by a  Mexican actor best known for his roles as Fernando Mendiola in what?,La Fea Mas Bella,entity
hotpotqa_0567,hotpotqa,Hall of Fame Racing is a team created by a joint venture of a number of players including the quarterback who was the #1 overall draft pick in what year?,1989,temporal
musique_0071,musique,How did the Japanese beat the country whose government disagreed on the language used to describe the torch route?,First Sino-Japanese,other
squad_0018,squad,How many departments are within the Stinson-Remick Hall of Engineering?,five,numerical
hotpotqa_0962,hotpotqa,Team Halfords Bikehut was the team of the British female cyclist who now works in what capacity?,environmental consultant,compositional
musique_0573,musique,In what year was the performer of Singles founded?,1985,temporal
squad_0097,squad,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,entity
hotpotqa_0031,hotpotqa,"Who was born first, Pablo Trapero or Aleksander Ford?",Aleksander Ford,temporal
hotpotqa_0035,hotpotqa,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",David Lee Roth,entity
musique_0751,musique,Where was the guy who devised Mock Turtle born?,Daresbury,entity
musique_0156,musique,The writer of The Night They Drove Old Dixie Down falls under which record label?,Capitol Records,entity
musique_0366,musique,"Who is the law, proposed by the man who combined the idea of elements with earlier theories of the atom, named after?",John Dalton,entity
hotpotqa_0066,hotpotqa,"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",15,numerical
squad_0350,squad,Which film featured Destiny's Child's first major single?,Men in Black,entity
hotpotqa_0892,hotpotqa,"What was the job title of this American engineer and former astronaut aboard Apollo 11, who inspired the musical Moon Landing?",Lunar Module Pilot,entity
musique_0454,musique,What is the record label for the performers of Bathtub Blues?,Red House Records,entity
hotpotqa_0176,hotpotqa,"Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accre",Massachusetts,entity
squad_0132,squad,The amount of professors at Notre Dame increased by what amount under Malloy?,500,numerical
hotpotqa_0548,hotpotqa,"Which plant, Buddleja or Burchardia, is an herb named after a German botanist?",Burchardia,entity
musique_0309,musique,What year saw the end of the administration that developed USRA Light Mountain?,1920,temporal
musique_0030,musique,What year did the council which was seated in 1949 adopt the convention of cybercrime in?,2001,temporal
hotpotqa_0017,hotpotqa,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,entity
musique_0022,musique,What is the field of work of the proposer of the modern synthetic theory of evolution?,bio,entity
hotpotqa_0357,hotpotqa,"Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?",northern Italian region,entity
squad_0061,squad,In what year did Lobund at Notre Dame become an Institute?,1950,temporal
musique_0493,musique,How many PGA tour wins does the 1997 Masters Tournament winner have?,79,numerical
hotpotqa_0588,hotpotqa,What piece was composed in 1937 for the American Bandmasters Association and has a melody similar to Green Bushes?,Lincolnshire Posy,compositional
hotpotqa_0581,hotpotqa,Which star in The Pokrovsky Gate was also a director and occasional singer?,Oleg Menshikov,entity
musique_0074,musique,Which county contains the state having Wonderland Village?,Wayne County,compositional
musique_0972,musique,Who designed the place where Portrait of Francesco delle Opere can be found?,Giorgio Vasari,entity
musique_0830,musique,What college did the background singer of You're So Vain attend?,Dartford Grammar School,entity
musique_0555,musique,What is the name of the latest version of the OS X operating system of the company against which the lawsuit of Apple vs Microsoft and Hewlett-Packard was decided?,macOS,entity
musique_0196,musique,When did the museum of the war where Boston was the location of many important events open?,"April 19, 2017",temporal
musique_0814,musique,In which league was the sports team of Stanley Blair?,Canadian Football League,entity
squad_0496,squad,Who did Beyoncé part ways with during her hiatus?,her father,entity
hotpotqa_0127,hotpotqa,"Pearl Lowe and Alison Goldfrapp, is of which nationality?",English,entity
musique_0142,musique,In which year did the SS.11 manufacturer end?,1970,temporal
musique_0139,musique,In which year did the company that made SS.11 end?,1970,temporal
squad_0071,squad,In what year did Notre Dame begin to host the Global Adaptation Index?,2013,temporal
musique_0082,musique,What was the language of the designer of Sacro Cuore di Cristo Re?,Italian,other
hotpotqa_0886,hotpotqa,"While both singer-songwriters have displayed incredible talent, what sets Robert Palmer apart from Wayne Coyne, causing him to gain populatiry in two continents?",eclectic mix of musical styles,other
musique_0080,musique,Who was the first Muslim elected as president of the party formed government in NWFP after the elections of 1937?,Badruddin Tayyab Ji,entity
musique_0784,musique,Why did Kim Pyong-il's father redeploy his military troops?,to defend Seoul,other
hotpotqa_0061,hotpotqa,"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",Victor John Mature,entity
musique_0585,musique,Where did the producer of Ishtar attend school?,Northwestern's School of Communication,entity
musique_0704,musique,Who sings on Every Storm along with the singer-songwriter whose fifth studio album was Watching Airplanes?,Co-writer Hillary Lindsey,compositional
musique_0084,musique,Who was President of the U.S. following the event which was preceded by Joseph Schumpeter and Norman Angell's most prolific writing ?,Thomas Woodrow Wilson,compositional
hotpotqa_0623,hotpotqa,The Oxus cobra contains what kind of ions for their venom to be active? ,magnesium,entity
squad_0453,squad,Who beat out Beyonce for Best Female Video ?,Taylor Swift,entity
squad_0034,squad,How many stories tall is the main library at Notre Dame?,14,numerical
hotpotqa_0492,hotpotqa,"Dharmatama is a 1975 Hindi thriller movie, and the first Bollywood film to be shot in Afghanistan,the title character was based on matka, king Ratan Khatri, Matka"" gambling or satta"" is a form of lott",New York Cotton Exchange,compositional
musique_0982,musique,Who designed the museum that has the Portrait of Guidobaldo da Montefeltro?,Giorgio Vasari,compositional
musique_0437,musique,Where in Plymouth is the operator of Barnett class lifeboat based?,Millbay Docks,entity
musique_0418,musique,Who did a Snakes on a Plane actor play in Star Wars?,Mace Windu,entity
hotpotqa_0201,hotpotqa,"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",R&B,entity
hotpotqa_0379,hotpotqa,"What vehicle, introduced for model year 2006, does Patrick Carpentier currently drive in the NASCAR Sprint Cup Series?",Ford Fusion,entity
musique_0866,musique,What did some think of the man who lent his name to the place Eugene Blair died changing the phrasing in his book?,some commentators have taken this as a concession to religion that Darwin later ,other
musique_0614,musique,In what year was the performer of Hang Your Head founded?,1985,temporal
musique_0155,musique,Who was the first torchbearer in the place where Manuel John Johnson was born?,Leong Hong Man,compositional
musique_0569,musique,Who is the sibling of the painter of The Melancholy of Departure?,Alberto Savinio,compositional
hotpotqa_0155,hotpotqa,"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?","56,551",numerical
hotpotqa_0777,hotpotqa,Where does this Argentine sports club currently compete that Augusto Solari currently is a professional footballer for?,Primera División,compositional
hotpotqa_0321,hotpotqa,Mary Small served the county whose seat is what town?,Bath,compositional
hotpotqa_0241,hotpotqa,Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,Bankers Life Fieldhouse,entity
musique_0618,musique,What is the place where Luigi Fabris lived at the time of his death an example of?,comune,other
musique_0955,musique,Who is the spouse of the actress of the Red Queen from Alice in Wonderland?,Tim Burton,compositional
musique_0844,musique,when did the season of Grey's Anatomy where derek dies start?,"September 25, 2014",temporal
musique_0711,musique,When was the author of the Principles of Psychology born?,1842,temporal
musique_0829,musique,What is the native language of the person who broke the salt law in Belgium in 1930?,Gujarati,compositional
squad_0319,squad,What younger sister of Beyonce also appeared in Destiny's Child?,Solange,entity
musique_0577,musique,Who is the programming language that includes the UPDATE statement partially named after?,Michael Widenius's daughter,compositional
musique_0564,musique,Who is the sibling of the developer of The Song of Love?,Alberto Savinio,compositional
musique_0422,musique,What is the city where Todor Kableshkov lived when he died the capital of?,Gabrovo Province,compositional
musique_0460,musique,Who played the performer of Mean Old Man on Walk the Line?,Waylon Malloy Payne,entity
musique_0462,musique,Who is the child of the person who was made Senate Majority Leader after the 1954 election?,Lynda Bird Johnson Robb,compositional
musique_0112,musique,When was the super bowl won by the team that the Patriots lost to?,2011,compositional
musique_0945,musique,Who is the spouse of the person who plays queen of hearts in Alice in Wonderland?,Tim Burton,entity
hotpotqa_0638,hotpotqa,What town sends their students to Messalonskee High School and had a population of 1010 according to the 2010 census?,Rome,entity
musique_0044,musique,When did the distributer of Poptropica start?,1998,temporal
musique_0876,musique,What is the family of the naked-backed fruit bat found in the birthplace of Erin Stewart?,Dobsonia,compositional
musique_0127,musique,Who produced the series Acme Animation Factory is part of?,Warner Bros.,entity
hotpotqa_0445,hotpotqa,How much is the company that Jessica Alba is associated with worth as of 2015?,$1.7 billion,numerical
hotpotqa_0554,hotpotqa,What is the capital of the state Curly Ray Cline is from?,Charleston,compositional
musique_0818,musique,What place is the football club of Julian Rowe named after?,"Collingwood, Victoria",entity
hotpotqa_0994,hotpotqa,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,entity
hotpotqa_0798,hotpotqa,Both Martha Stewart Living and Tall Timber Short Lines are considered what?,magazine,entity
musique_0508,musique,Who wrote the book named after the performer who a lot of modern pop artists grew up listening to?,Andrew Morton,compositional
squad_0009,squad,In what year did the student paper Common Sense begin publication at Notre Dame?,1987,temporal
hotpotqa_0259,hotpotqa,"What city is located in Gauteng, South Africa with a suburb called Kew?",Johannesburg,entity
musique_0542,musique,When did the relationship of the person a lot of modern pop artists grew up listening to with Carlos Leon end?,May 1997,temporal
squad_0246,squad,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,the steps of Bond Hall,entity
hotpotqa_0038,hotpotqa,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area ",California,entity
squad_0339,squad,Who was the first record label to give the girls a record deal?,Elektra Records,entity
musique_0695,musique,How many members does the legislator of United Nations Security Council Resolution 731 have?,fifteen,numerical
squad_0233,squad,What is the Notre Dame fight song?,Notre Dame Victory March,entity
musique_0634,musique,Who did the performer on In My Pocket ply in Princess Diaries?,Lana Thomas,entity
hotpotqa_0128,hotpotqa,Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?,Jardine Matheson,entity
squad_0333,squad,What city was Beyoncé's elementary school located in?,Fredericksburg,entity
squad_0117,squad,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",Medieval Institute,entity
squad_0418,squad,What was the name of Beyoncé's European start that started in November 2003?,Dangerously in Love Tour,entity
squad_0203,squad,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,"November 26, 1842",temporal
squad_0492,squad,When did she stop using her father as a manager?,During the break,temporal
musique_0548,musique,"How many iPods had the company that lost Apple vs. Microsoft and Hewlett-Packard sold by April 9, 2007?",hundred million,numerical
musique_0194,musique,What is the record label for the singer of Cast Your Fate to the Wind?,Warner Bros.,compositional
squad_0017,squad,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,the College of Science,entity
musique_0766,musique,What marked the end of the place where the idea of representative democracy originated?,establishment of the Roman Empire.,other
musique_0990,musique,"What was the favorability rating during the 9/11 attacks, of the president who was the son of the former president who signed the Civil Rights Act of 1991?",surged to near 90%,compositional
musique_0008,musique,Who was thee first president of the association that wrote the code of ethics for psychology?,G. Stanley Hall,entity
hotpotqa_0971,hotpotqa,"John Gale, is from North Platte, Nebraska, and has served as the 26th Secretary of State of Nebraska since 2000, he is a member of the Republican Party, commonly referred to as the GOP, an abbreviatio",Grand Old Party,other
