sample_id,source,plausible,plausible_reason,topical,topical_reason,contradicts,contradiction_reason,all_pass
musique_0838,musique,1,len=52,1,hits=4/23,1,gold absent (contradicts by alternative),1
squad_0176,squad,1,len=48,1,hits=2/17,1,gold absent (contradicts by alternative),1
musique_0739,musique,1,len=37,1,hits=6/34,1,gold absent (contradicts by alternative),1
hotpotqa_0804,hotpotqa,1,len=52,1,hits=8/22,1,gold absent (contradicts by alternative),1
musique_0077,musique,1,len=46,1,hits=4/30,1,gold absent (contradicts by alternative),1
musique_0512,musique,1,len=50,1,hits=3/8,1,gold absent (contradicts by alternative),1
musique_0399,musique,1,len=45,1,hits=3/13,1,gold absent (contradicts by alternative),1
musique_0111,musique,1,len=35,1,hits=1/21,1,gold absent (contradicts by alternative),1
musique_0286,musique,1,len=51,1,hits=4/30,1,gold absent (contradicts by alternative),1
hotpotqa_0807,hotpotqa,1,len=44,1,hits=3/12,1,gold absent (contradicts by alternative),1
hotpotqa_0226,hotpotqa,1,len=52,1,hits=3/9,1,gold absent (contradicts by alternative),1
squad_0310,squad,1,len=47,1,hits=1/16,1,gold absent (contradicts by alternative),1
squad_0292,squad,1,len=46,1,hits=3/24,1,gold absent (contradicts by alternative),1
hotpotqa_0790,hotpotqa,1,len=37,1,hits=8/22,1,gold absent (contradicts by alternative),1
squad_0220,squad,1,len=40,1,hits=4/19,1,gold absent (contradicts by alternative),1
hotpotqa_0063,hotpotqa,1,len=50,1,hits=6/22,1,gold absent (contradicts by alternative),1
musique_0926,musique,1,len=50,1,hits=2/23,1,gold absent (contradicts by alternative),1
hotpotqa_0177,hotpotqa,1,len=46,1,hits=2/24,1,gold absent (contradicts by alternative),1
squad_0474,squad,1,len=57,1,hits=9/23,1,gold absent (contradicts by alternative),1
musique_0280,musique,1,len=43,1,hits=4/23,1,gold absent (contradicts by alternative),1
hotpotqa_0936,hotpotqa,1,len=48,1,hits=6/44,1,gold absent (contradicts by alternative),1
hotpotqa_0212,hotpotqa,1,len=45,1,hits=3/35,1,gold absent (contradicts by alternative),1
musique_0255,musique,1,len=43,1,hits=4/20,1,gold absent (contradicts by alternative),1
hotpotqa_0844,hotpotqa,1,len=39,1,hits=2/19,1,gold absent (contradicts by alternative),1
hotpotqa_0684,hotpotqa,1,len=39,1,hits=3/12,1,gold absent (contradicts by alternative),1
squad_0419,squad,1,len=46,1,hits=5/37,1,gold absent (contradicts by alternative),1
musique_0687,musique,1,len=42,1,hits=5/28,1,gold absent (contradicts by alternative),1
hotpotqa_0233,hotpotqa,1,len=53,1,hits=2/21,0,gold appears affirmatively,0
hotpotqa_0709,hotpotqa,1,len=48,1,hits=5/29,1,gold absent (contradicts by alternative),1
musique_0730,musique,1,len=42,1,hits=2/11,1,gold absent (contradicts by alternative),1
musique_0117,musique,1,len=44,1,hits=3/22,1,gold absent (contradicts by alternative),1
musique_0885,musique,1,len=42,1,hits=3/12,1,gold absent (contradicts by alternative),1
musique_0068,musique,1,len=50,1,hits=3/16,1,gold absent (contradicts by alternative),1
squad_0267,squad,1,len=45,1,hits=2/41,1,gold absent (contradicts by alternative),1
hotpotqa_0078,hotpotqa,1,len=44,1,hits=5/23,1,gold absent (contradicts by alternative),1
hotpotqa_0416,hotpotqa,1,len=52,1,hits=6/33,1,gold absent (contradicts by alternative),1
musique_0832,musique,1,len=48,1,hits=1/24,1,gold absent (contradicts by alternative),1
musique_0898,musique,1,len=61,1,hits=1/11,1,gold absent (contradicts by alternative),1
musique_0794,musique,1,len=42,1,hits=4/13,0,gold appears affirmatively,0
musique_0417,musique,1,len=46,1,hits=5/13,1,gold absent (contradicts by alternative),1
squad_0286,squad,1,len=45,0,hits=0/17,1,gold absent (contradicts by alternative),0
hotpotqa_0209,hotpotqa,1,len=34,1,hits=2/11,0,gold appears affirmatively,0
musique_0018,musique,1,len=41,1,hits=2/25,1,gold absent (contradicts by alternative),1
musique_0937,musique,1,len=45,1,hits=1/29,1,gold absent (contradicts by alternative),1
hotpotqa_0989,hotpotqa,1,len=46,1,hits=3/10,1,gold absent (contradicts by alternative),1
musique_0755,musique,1,len=46,1,hits=5/32,1,gold absent (contradicts by alternative),1
hotpotqa_0148,hotpotqa,1,len=38,1,hits=8/21,1,gold absent (contradicts by alternative),1
hotpotqa_0599,hotpotqa,1,len=43,1,hits=3/18,1,gold absent (contradicts by alternative),1
hotpotqa_0947,hotpotqa,1,len=51,1,hits=10/33,1,gold negated,1
musique_0376,musique,1,len=55,1,hits=3/17,1,gold absent (contradicts by alternative),1
hotpotqa_0348,hotpotqa,1,len=51,1,hits=5/24,1,gold absent (contradicts by alternative),1
squad_0151,squad,1,len=50,1,hits=3/36,1,gold absent (contradicts by alternative),1
hotpotqa_0538,hotpotqa,1,len=45,1,hits=3/23,1,gold negated,1
hotpotqa_0818,hotpotqa,1,len=48,1,hits=6/13,1,gold absent (contradicts by alternative),1
musique_0786,musique,1,len=52,1,hits=2/24,1,gold absent (contradicts by alternative),1
squad_0114,squad,1,len=47,1,hits=2/16,1,gold absent (contradicts by alternative),1
musique_0270,musique,1,len=55,1,hits=2/9,1,gold absent (contradicts by alternative),1
hotpotqa_0677,hotpotqa,1,len=38,1,hits=5/21,1,gold absent (contradicts by alternative),1
musique_0494,musique,1,len=47,1,hits=2/12,1,gold absent (contradicts by alternative),1
musique_0812,musique,1,len=39,1,hits=2/24,1,gold absent (contradicts by alternative),1
musique_0616,musique,1,len=51,1,hits=6/15,1,gold negated,1
hotpotqa_0624,hotpotqa,1,len=41,1,hits=6/14,1,gold absent (contradicts by alternative),1
hotpotqa_0748,hotpotqa,1,len=44,1,hits=6/27,1,gold absent (contradicts by alternative),1
musique_0804,musique,1,len=33,1,hits=1/22,1,gold absent (contradicts by alternative),1
hotpotqa_0376,hotpotqa,1,len=48,1,hits=2/17,1,gold absent (contradicts by alternative),1
musique_0469,musique,1,len=47,1,hits=6/14,1,gold absent (contradicts by alternative),1
musique_0106,musique,1,len=50,1,hits=4/14,1,gold absent (contradicts by alternative),1
hotpotqa_0897,hotpotqa,1,len=42,1,hits=5/14,1,gold absent (contradicts by alternative),1
musique_0429,musique,1,len=41,1,hits=1/18,1,gold absent (contradicts by alternative),1
hotpotqa_0534,hotpotqa,1,len=36,1,hits=3/11,1,gold absent (contradicts by alternative),1
hotpotqa_0653,hotpotqa,1,len=41,1,hits=2/19,1,gold absent (contradicts by alternative),1
hotpotqa_0396,hotpotqa,1,len=44,1,hits=3/10,1,gold absent (contradicts by alternative),1
musique_0487,musique,1,len=39,1,hits=3/29,1,gold absent (contradicts by alternative),1
musique_0256,musique,1,len=41,1,hits=4/11,1,gold absent (contradicts by alternative),1
hotpotqa_0519,hotpotqa,1,len=59,1,hits=6/21,1,gold absent (contradicts by alternative),1
hotpotqa_0230,hotpotqa,1,len=41,1,hits=4/23,0,gold appears affirmatively,0
musique_0092,musique,1,len=47,1,hits=5/19,1,gold absent (contradicts by alternative),1
squad_0458,squad,1,len=58,1,hits=6/43,1,gold absent (contradicts by alternative),1
musique_0676,musique,1,len=49,1,hits=3/20,1,gold absent (contradicts by alternative),1
musique_0439,musique,1,len=47,1,hits=5/18,1,gold absent (contradicts by alternative),1
hotpotqa_0221,hotpotqa,1,len=42,1,hits=2/11,1,gold absent (contradicts by alternative),1
hotpotqa_0504,hotpotqa,1,len=63,1,hits=4/10,0,gold appears affirmatively,0
hotpotqa_0371,hotpotqa,1,len=50,1,hits=6/14,1,gold absent (contradicts by alternative),1
musique_0379,musique,1,len=54,1,hits=4/18,1,gold absent (contradicts by alternative),1
hotpotqa_0679,hotpotqa,1,len=50,1,hits=5/18,1,gold absent (contradicts by alternative),1
musique_0159,musique,1,len=41,1,hits=5/24,1,gold absent (contradicts by alternative),1
squad_0111,squad,1,len=48,1,hits=2/16,1,gold absent (contradicts by alternative),1
hotpotqa_0495,hotpotqa,1,len=46,1,hits=3/14,1,gold absent (contradicts by alternative),1
hotpotqa_0119,hotpotqa,1,len=49,1,hits=2/6,1,gold absent (contradicts by alternative),1
hotpotqa_0401,hotpotqa,1,len=42,1,hits=5/9,1,gold absent (contradicts by alternative),1
hotpotqa_0011,hotpotqa,1,len=40,1,hits=5/15,1,gold absent (contradicts by alternative),1
hotpotqa_0558,hotpotqa,1,len=42,1,hits=3/26,1,gold absent (contradicts by alternative),1
musique_0657,musique,1,len=47,1,hits=4/14,1,gold absent (contradicts by alternative),1
hotpotqa_0930,hotpotqa,1,len=44,1,hits=2/14,1,gold absent (contradicts by alternative),1
hotpotqa_0049,hotpotqa,1,len=36,1,hits=3/16,1,gold absent (contradicts by alternative),1
musique_0261,musique,1,len=52,1,hits=1/19,1,gold absent (contradicts by alternative),1
squad_0163,squad,1,len=48,1,hits=5/11,1,gold absent (contradicts by alternative),1
musique_0313,musique,1,len=51,1,hits=5/22,1,gold absent (contradicts by alternative),1
hotpotqa_0051,hotpotqa,1,len=64,1,hits=8/24,1,gold absent (contradicts by alternative),1
musique_0570,musique,1,len=43,1,hits=3/8,1,gold absent (contradicts by alternative),1
hotpotqa_0354,hotpotqa,1,len=40,1,hits=2/9,0,gold appears affirmatively,0
hotpotqa_0419,hotpotqa,1,len=44,1,hits=2/33,1,gold negated,1
musique_0222,musique,1,len=54,1,hits=3/27,1,gold absent (contradicts by alternative),1
musique_0701,musique,1,len=49,1,hits=4/25,1,gold absent (contradicts by alternative),1
musique_0402,musique,1,len=54,1,hits=2/16,1,gold absent (contradicts by alternative),1
hotpotqa_0999,hotpotqa,1,len=49,1,hits=2/27,1,gold absent (contradicts by alternative),1
hotpotqa_0688,hotpotqa,1,len=49,1,hits=4/24,1,gold absent (contradicts by alternative),1
hotpotqa_0524,hotpotqa,1,len=37,1,hits=7/17,1,gold absent (contradicts by alternative),1
musique_0757,musique,1,len=45,1,hits=2/23,1,gold absent (contradicts by alternative),1
hotpotqa_0067,hotpotqa,1,len=45,1,hits=8/35,1,gold absent (contradicts by alternative),1
hotpotqa_0518,hotpotqa,1,len=40,1,hits=4/20,1,gold absent (contradicts by alternative),1
squad_0388,squad,1,len=44,1,hits=2/19,1,gold absent (contradicts by alternative),1
musique_0148,musique,1,len=54,1,hits=3/24,1,gold absent (contradicts by alternative),1
hotpotqa_0661,hotpotqa,1,len=55,1,hits=3/14,1,gold absent (contradicts by alternative),1
hotpotqa_0604,hotpotqa,1,len=44,1,hits=4/43,1,gold absent (contradicts by alternative),1
hotpotqa_0609,hotpotqa,1,len=48,1,hits=5/14,1,gold absent (contradicts by alternative),1
musique_0607,musique,1,len=47,1,hits=7/19,1,gold absent (contradicts by alternative),1
hotpotqa_0323,hotpotqa,1,len=51,1,hits=4/13,1,gold absent (contradicts by alternative),1
hotpotqa_0938,hotpotqa,1,len=54,1,hits=8/15,1,gold absent (contradicts by alternative),1
musique_0863,musique,1,len=58,1,hits=4/33,1,gold absent (contradicts by alternative),1
hotpotqa_0434,hotpotqa,1,len=51,1,hits=6/18,1,gold absent (contradicts by alternative),1
hotpotqa_0567,hotpotqa,1,len=46,1,hits=8/29,1,gold absent (contradicts by alternative),1
musique_0071,musique,1,len=35,1,hits=3/37,1,gold absent (contradicts by alternative),1
squad_0018,squad,1,len=47,1,hits=3/17,1,gold absent (contradicts by alternative),1
hotpotqa_0962,hotpotqa,1,len=40,1,hits=1/22,1,gold absent (contradicts by alternative),1
musique_0573,musique,1,len=49,1,hits=7/23,1,gold absent (contradicts by alternative),1
squad_0097,squad,1,len=54,1,hits=2/9,1,gold absent (contradicts by alternative),1
hotpotqa_0031,hotpotqa,1,len=30,1,hits=3/21,0,gold appears affirmatively,0
hotpotqa_0035,hotpotqa,1,len=52,1,hits=5/13,1,gold absent (contradicts by alternative),1
musique_0751,musique,1,len=46,1,hits=2/18,1,gold absent (contradicts by alternative),1
musique_0156,musique,1,len=51,1,hits=4/15,1,gold absent (contradicts by alternative),1
musique_0366,musique,1,len=41,0,hits=0/4,1,gold absent (contradicts by alternative),0
hotpotqa_0066,hotpotqa,1,len=50,1,hits=3/20,1,gold absent (contradicts by alternative),1
squad_0350,squad,1,len=48,0,hits=0/34,1,gold absent (contradicts by alternative),0
hotpotqa_0892,hotpotqa,1,len=45,1,hits=5/18,1,gold absent (contradicts by alternative),1
musique_0454,musique,1,len=40,1,hits=4/6,1,gold negated,1
hotpotqa_0176,hotpotqa,1,len=45,1,hits=10/24,1,gold negated,1
squad_0132,squad,1,len=51,1,hits=3/6,1,gold absent (contradicts by alternative),1
hotpotqa_0548,hotpotqa,1,len=43,1,hits=4/18,1,gold negated,1
musique_0309,musique,1,len=44,1,hits=2/13,1,gold absent (contradicts by alternative),1
musique_0030,musique,1,len=50,1,hits=4/33,1,gold absent (contradicts by alternative),1
hotpotqa_0017,hotpotqa,1,len=45,1,hits=2/20,1,gold absent (contradicts by alternative),1
musique_0022,musique,1,len=52,1,hits=1/10,1,gold absent (contradicts by alternative),1
hotpotqa_0357,hotpotqa,1,len=38,1,hits=5/10,1,gold absent (contradicts by alternative),1
squad_0061,squad,1,len=38,1,hits=3/14,1,gold absent (contradicts by alternative),1
musique_0493,musique,1,len=50,1,hits=2/14,1,gold absent (contradicts by alternative),1
hotpotqa_0588,hotpotqa,1,len=51,1,hits=5/28,1,gold absent (contradicts by alternative),1
hotpotqa_0581,hotpotqa,1,len=51,1,hits=3/14,1,gold absent (contradicts by alternative),1
musique_0074,musique,1,len=42,1,hits=6/13,1,gold negated,1
musique_0972,musique,1,len=44,1,hits=6/16,1,gold absent (contradicts by alternative),1
musique_0830,musique,1,len=46,1,hits=1/26,1,gold absent (contradicts by alternative),1
musique_0555,musique,1,len=52,1,hits=5/18,1,gold absent (contradicts by alternative),1
musique_0196,musique,1,len=53,1,hits=8/17,1,gold absent (contradicts by alternative),1
musique_0814,musique,1,len=41,1,hits=7/23,1,gold absent (contradicts by alternative),1
squad_0496,squad,1,len=45,1,hits=1/8,1,gold absent (contradicts by alternative),1
hotpotqa_0127,hotpotqa,1,len=41,1,hits=4/7,1,gold negated,1
musique_0142,musique,1,len=47,1,hits=1/13,1,gold absent (contradicts by alternative),1
musique_0139,musique,1,len=43,0,hits=0/13,1,gold absent (contradicts by alternative),0
squad_0071,squad,1,len=45,1,hits=2/15,1,gold absent (contradicts by alternative),1
musique_0082,musique,1,len=39,1,hits=4/11,1,gold absent (contradicts by alternative),1
hotpotqa_0886,hotpotqa,1,len=50,1,hits=2/12,1,gold absent (contradicts by alternative),1
musique_0080,musique,1,len=53,1,hits=4/16,1,gold absent (contradicts by alternative),1
musique_0784,musique,1,len=45,1,hits=2/20,1,gold negated,1
hotpotqa_0061,hotpotqa,1,len=52,1,hits=2/29,1,gold absent (contradicts by alternative),1
musique_0585,musique,1,len=49,1,hits=1/91,1,gold absent (contradicts by alternative),1
musique_0704,musique,1,len=40,1,hits=2/18,1,gold absent (contradicts by alternative),1
musique_0084,musique,1,len=48,1,hits=1/28,1,gold absent (contradicts by alternative),1
hotpotqa_0623,hotpotqa,1,len=45,1,hits=2/13,1,gold absent (contradicts by alternative),1
squad_0453,squad,1,len=48,1,hits=3/43,1,gold absent (contradicts by alternative),1
squad_0034,squad,1,len=50,1,hits=5/10,1,gold absent (contradicts by alternative),1
hotpotqa_0492,hotpotqa,1,len=48,1,hits=3/35,1,gold absent (contradicts by alternative),1
musique_0982,musique,1,len=42,1,hits=6/17,1,gold absent (contradicts by alternative),1
musique_0437,musique,1,len=40,1,hits=3/29,1,gold absent (contradicts by alternative),1
musique_0418,musique,1,len=37,1,hits=5/22,1,gold absent (contradicts by alternative),1
hotpotqa_0201,hotpotqa,1,len=46,1,hits=6/29,0,gold appears affirmatively,0
hotpotqa_0379,hotpotqa,1,len=45,1,hits=3/32,1,gold absent (contradicts by alternative),1
musique_0866,musique,1,len=64,1,hits=2/23,1,gold absent (contradicts by alternative),1
musique_0614,musique,1,len=41,1,hits=5/23,1,gold absent (contradicts by alternative),1
musique_0155,musique,1,len=49,1,hits=2/32,1,gold absent (contradicts by alternative),1
musique_0569,musique,1,len=40,1,hits=5/16,1,gold absent (contradicts by alternative),1
hotpotqa_0155,hotpotqa,1,len=47,1,hits=4/13,1,gold absent (contradicts by alternative),1
hotpotqa_0777,hotpotqa,1,len=49,1,hits=3/9,1,gold absent (contradicts by alternative),1
hotpotqa_0321,hotpotqa,1,len=36,1,hits=4/15,1,gold absent (contradicts by alternative),1
hotpotqa_0241,hotpotqa,1,len=39,1,hits=9/32,0,gold appears affirmatively,0
musique_0618,musique,1,len=49,1,hits=7/24,1,gold absent (contradicts by alternative),1
musique_0955,musique,1,len=43,1,hits=5/27,1,gold absent (contradicts by alternative),1
musique_0844,musique,1,len=40,1,hits=1/30,1,gold absent (contradicts by alternative),1
musique_0711,musique,1,len=40,1,hits=6/11,1,gold absent (contradicts by alternative),1
musique_0829,musique,1,len=56,1,hits=5/17,0,gold appears affirmatively,0
squad_0319,squad,1,len=52,1,hits=2/25,1,gold absent (contradicts by alternative),1
musique_0577,musique,1,len=49,1,hits=1/10,1,gold absent (contradicts by alternative),1
musique_0564,musique,1,len=45,1,hits=5/12,1,gold absent (contradicts by alternative),1
musique_0422,musique,1,len=36,1,hits=4/12,1,gold absent (contradicts by alternative),1
musique_0460,musique,1,len=52,1,hits=3/10,1,gold absent (contradicts by alternative),1
musique_0462,musique,1,len=48,1,hits=3/33,1,gold absent (contradicts by alternative),1
musique_0112,musique,1,len=35,1,hits=4/26,1,gold absent (contradicts by alternative),1
musique_0945,musique,1,len=47,1,hits=5/28,1,gold absent (contradicts by alternative),1
hotpotqa_0638,hotpotqa,1,len=56,1,hits=4/18,1,gold absent (contradicts by alternative),1
musique_0044,musique,1,len=41,1,hits=3/23,1,gold absent (contradicts by alternative),1
musique_0876,musique,1,len=44,1,hits=3/17,1,gold absent (contradicts by alternative),1
musique_0127,musique,1,len=39,1,hits=2/28,1,gold absent (contradicts by alternative),1
hotpotqa_0445,hotpotqa,1,len=46,1,hits=1/20,1,gold absent (contradicts by alternative),1
hotpotqa_0554,hotpotqa,1,len=50,1,hits=5/16,1,gold absent (contradicts by alternative),1
musique_0818,musique,1,len=40,1,hits=4/17,1,gold absent (contradicts by alternative),1
hotpotqa_0994,hotpotqa,1,len=39,1,hits=4/19,1,gold absent (contradicts by alternative),1
hotpotqa_0798,hotpotqa,1,len=40,1,hits=5/7,1,gold absent (contradicts by alternative),1
musique_0508,musique,1,len=45,0,hits=0/41,1,gold absent (contradicts by alternative),0
squad_0009,squad,1,len=45,1,hits=2/19,1,gold absent (contradicts by alternative),1
hotpotqa_0259,hotpotqa,1,len=42,1,hits=3/12,1,gold absent (contradicts by alternative),1
musique_0542,musique,1,len=53,1,hits=2/58,1,gold absent (contradicts by alternative),1
squad_0246,squad,1,len=48,1,hits=4/15,1,gold absent (contradicts by alternative),1
hotpotqa_0038,hotpotqa,1,len=70,1,hits=8/11,1,gold absent (contradicts by alternative),1
squad_0339,squad,1,len=49,1,hits=3/18,1,gold absent (contradicts by alternative),1
musique_0695,musique,1,len=47,1,hits=4/27,1,gold absent (contradicts by alternative),1
squad_0233,squad,1,len=45,1,hits=1/16,1,gold absent (contradicts by alternative),1
musique_0634,musique,1,len=44,1,hits=3/42,1,gold absent (contradicts by alternative),1
hotpotqa_0128,hotpotqa,1,len=57,1,hits=5/27,1,gold absent (contradicts by alternative),1
squad_0333,squad,1,len=43,1,hits=3/15,1,gold absent (contradicts by alternative),1
squad_0117,squad,1,len=37,1,hits=2/18,1,gold absent (contradicts by alternative),1
squad_0418,squad,1,len=49,1,hits=3/36,1,gold absent (contradicts by alternative),1
squad_0203,squad,1,len=54,1,hits=3/14,1,gold absent (contradicts by alternative),1
squad_0492,squad,1,len=46,0,hits=0/8,1,gold absent (contradicts by alternative),0
musique_0548,musique,1,len=49,1,hits=2/13,1,gold absent (contradicts by alternative),1
musique_0194,musique,1,len=49,1,hits=5/23,1,gold absent (contradicts by alternative),1
squad_0017,squad,1,len=43,1,hits=6/18,1,gold absent (contradicts by alternative),1
musique_0766,musique,1,len=49,1,hits=3/14,1,gold absent (contradicts by alternative),1
musique_0990,musique,1,len=44,1,hits=1/14,1,gold absent (contradicts by alternative),1
musique_0008,musique,1,len=51,0,hits=0/22,1,gold absent (contradicts by alternative),0
hotpotqa_0971,hotpotqa,1,len=47,1,hits=6/17,1,gold absent (contradicts by alternative),1
musique_0952,musique,1,len=43,1,hits=2/35,1,gold absent (contradicts by alternative),1
squad_0241,squad,1,len=43,1,hits=3/24,1,gold absent (contradicts by alternative),1
musique_0856,musique,1,len=44,0,hits=0/15,1,gold absent (contradicts by alternative),0
hotpotqa_0834,hotpotqa,1,len=34,1,hits=3/17,1,gold absent (contradicts by alternative),1
hotpotqa_0322,hotpotqa,1,len=40,1,hits=4/48,1,gold absent (contradicts by alternative),1
musique_0116,musique,1,len=40,1,hits=6/33,1,gold absent (contradicts by alternative),1
hotpotqa_0004,hotpotqa,1,len=38,1,hits=1/8,1,gold absent (contradicts by alternative),1
musique_0644,musique,1,len=46,1,hits=6/12,1,gold absent (contradicts by alternative),1
musique_0643,musique,1,len=44,1,hits=6/23,1,gold absent (contradicts by alternative),1
hotpotqa_0161,hotpotqa,1,len=45,1,hits=3/14,1,gold absent (contradicts by alternative),1
musique_0433,musique,1,len=42,1,hits=2/29,1,gold absent (contradicts by alternative),1
musique_0904,musique,1,len=43,1,hits=3/18,1,gold absent (contradicts by alternative),1
musique_0941,musique,1,len=49,1,hits=1/18,1,gold absent (contradicts by alternative),1
squad_0361,squad,1,len=48,1,hits=1/33,1,gold absent (contradicts by alternative),1
squad_0182,squad,1,len=51,1,hits=2/20,1,gold absent (contradicts by alternative),1
musique_0917,musique,1,len=47,1,hits=4/17,1,gold absent (contradicts by alternative),1
hotpotqa_0732,hotpotqa,1,len=51,1,hits=3/10,0,gold appears affirmatively,0
hotpotqa_0331,hotpotqa,1,len=54,1,hits=6/27,1,gold absent (contradicts by alternative),1
musique_0565,musique,1,len=35,1,hits=3/17,1,gold absent (contradicts by alternative),1
hotpotqa_0096,hotpotqa,1,len=43,1,hits=6/24,1,gold absent (contradicts by alternative),1
hotpotqa_0542,hotpotqa,1,len=51,1,hits=3/34,1,gold absent (contradicts by alternative),1
musique_0630,musique,1,len=40,1,hits=6/24,1,gold absent (contradicts by alternative),1
squad_0293,squad,1,len=53,0,hits=0/22,1,gold absent (contradicts by alternative),0
squad_0424,squad,1,len=40,1,hits=2/17,1,gold negated,1
squad_0052,squad,1,len=40,1,hits=4/29,1,gold absent (contradicts by alternative),1
hotpotqa_0277,hotpotqa,1,len=42,1,hits=5/14,1,gold absent (contradicts by alternative),1
hotpotqa_0083,hotpotqa,1,len=41,1,hits=4/23,1,gold absent (contradicts by alternative),1
musique_0137,musique,1,len=57,1,hits=4/23,1,gold absent (contradicts by alternative),1
squad_0164,squad,1,len=48,1,hits=1/10,1,gold absent (contradicts by alternative),1
squad_0457,squad,1,len=47,0,hits=0/42,1,gold absent (contradicts by alternative),0
squad_0232,squad,1,len=50,1,hits=1/16,1,gold absent (contradicts by alternative),1
hotpotqa_0395,hotpotqa,1,len=52,1,hits=4/16,1,gold absent (contradicts by alternative),1
musique_0281,musique,1,len=52,1,hits=5/23,1,gold absent (contradicts by alternative),1
hotpotqa_0479,hotpotqa,1,len=54,1,hits=3/17,0,gold appears affirmatively,0
hotpotqa_0055,hotpotqa,1,len=52,1,hits=5/38,1,gold absent (contradicts by alternative),1
musique_0707,musique,1,len=42,0,hits=0/24,1,gold absent (contradicts by alternative),0
hotpotqa_0756,hotpotqa,1,len=48,0,hits=0/6,1,gold absent (contradicts by alternative),0
musique_0451,musique,1,len=50,1,hits=2/29,1,gold absent (contradicts by alternative),1
musique_0205,musique,1,len=28,1,hits=3/18,1,gold absent (contradicts by alternative),1
musique_0873,musique,1,len=41,1,hits=2/18,1,gold absent (contradicts by alternative),1
hotpotqa_0852,hotpotqa,1,len=37,1,hits=3/8,1,gold absent (contradicts by alternative),1
hotpotqa_0687,hotpotqa,1,len=42,1,hits=1/15,1,gold absent (contradicts by alternative),1
squad_0020,squad,1,len=45,1,hits=3/11,1,gold absent (contradicts by alternative),1
musique_0772,musique,1,len=49,1,hits=5/19,1,gold absent (contradicts by alternative),1
hotpotqa_0792,hotpotqa,1,len=45,1,hits=2/10,1,gold absent (contradicts by alternative),1
musique_0633,musique,1,len=45,1,hits=3/14,1,gold absent (contradicts by alternative),1
musique_0133,musique,1,len=51,1,hits=3/11,1,gold absent (contradicts by alternative),1
squad_0325,squad,1,len=38,1,hits=1/24,1,gold absent (contradicts by alternative),1
musique_0403,musique,1,len=50,1,hits=3/36,1,gold absent (contradicts by alternative),1
musique_0108,musique,1,len=47,1,hits=5/31,1,gold absent (contradicts by alternative),1
hotpotqa_0467,hotpotqa,1,len=34,1,hits=4/19,0,gold appears affirmatively,0
musique_0221,musique,1,len=52,1,hits=5/35,1,gold absent (contradicts by alternative),1
musique_0453,musique,1,len=54,1,hits=3/12,1,gold absent (contradicts by alternative),1
musique_0438,musique,1,len=47,1,hits=1/19,1,gold absent (contradicts by alternative),1
hotpotqa_0064,hotpotqa,1,len=46,1,hits=6/16,1,gold absent (contradicts by alternative),1
